Field	Type	Null	Key	Default	Extra
id	int	NO	PRI	NULL	auto_increment
activity_id	int	NO	MUL	NULL	
assigned_to_user_id	int	NO	MUL	NULL	
assigned_by	int	NO	MUL	NULL	
assigned_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
start_date	date	YES		NULL	
end_date	date	YES		NULL	
weight_percentage	decimal(5,2)	YES		100.00	
status	enum('pending','accepted','in_progress','submitted','completed','overdue')	YES	MUL	pending	
is_flagged	tinyint(1)	YES	MUL	0	
flag_reason	text	YES		NULL	
created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
