Field	Type	Null	Key	Default	Extra
id	int	NO	PRI	NULL	auto_increment
activity_type	enum('main','detailed')	NO		NULL	
task_type	enum('process','kpi_driver')	NO		process	
source	enum('strategic_plan','council_minutes','tmc_minutes','academic_board','other_duty')	YES		NULL	
main_activity_id	int	YES	MUL	NULL	
parent_id	int	YES	MUL	NULL	
title	varchar(200)	NO		NULL	
description	text	YES		NULL	
pillar	enum('Teaching & Learning','Research & Innovation','Governance','Infrastructure','Partnerships')	YES		NULL	
department_id	int	YES	MUL	NULL	
target_kpi	varchar(200)	YES		NULL	
kpi_target_value	decimal(15,2)	YES		NULL	
completion_criteria	text	YES		NULL	
start_date	date	YES		NULL	
end_date	date	YES		NULL	
status	enum('pending','in_progress','completed','overdue')	YES		pending	
progress	int	YES		0	
actual_value	decimal(15,2)	YES		NULL	
created_by	int	YES	MUL	NULL	
created_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED
updated_at	timestamp	YES		CURRENT_TIMESTAMP	DEFAULT_GENERATED on update CURRENT_TIMESTAMP
meeting_reference	varchar(100)	YES		NULL	
committee_suggestion_unit_id	int	YES		NULL	
